"","n113","n114","n115","n116","n117","n118","n119","n121","markers"
"Q62261",0.1250068488,0.0821973215,0.0188481074,0.15218302,0.1999588413,0.3212736961,0.0787505221,0.0217816429,"unknown"
"Q9JHU4",0.0696974585,0.0665396293,0.0264236012,0.0746738036,0.0849709485,0.4226031323,0.2099599597,0.045131467,"unknown"
"Q9QXS1",0.2159640175,0.1200515612,0.0377647864,0.1045175743,0.1169688765,0.2155020308,0.1481317391,0.0410994141,"unknown"
"P16546",0.1291133254,0.0803034607,0.0334181337,0.1377509966,0.1824224595,0.2943513818,0.1047296112,0.037910631,"unknown"
"Q69ZN7",0.1872051546,0.3405098089,0.0783340887,0.2252436586,0.0835608097,0.0557361261,0.0192503847,0.0101599685,"unknown"
"P30999",0.2848133019,0.1718569503,0.0558462022,0.1943975,0.1385169715,0.0861758101,0.0280762297,0.0403170343,"Plasma membrane"
"Q03265",0.0215762545,0.0241266556,0.0129827548,0.1116884509,0.4591128035,0.2833070622,0.084397197,0.0028088214,"Mitochondrion"
"P58252",0.0923443543,0.0909909763,0.0212251479,0.1011568715,0.0884383617,0.1152954607,0.2530547622,0.2374940653,"unknown"
"P63038",0.0204620149,0.0246617739,0.0086679326,0.1248654725,0.4773266434,0.2843661745,0.0506929979,0.0089569904,"Mitochondrion"
"P52480",0.0685197521,0.0619898696,0.0174179876,0.0588812324,0.0437440452,0.1592636327,0.116587601,0.4735958795,"unknown"
"Q62318",0.0250780067,0.0306240546,0.0076140194,0.0525982668,0.056164877,0.3259025165,0.1869109658,0.3151072932,"unknown"
"P08113",0.0923169686,0.1342037543,0.0358990234,0.2973450238,0.2274548908,0.1716717241,0.0335661415,0.0075424734,"Endoplasmic reticulum"
"P56480",0.0194840627,0.0256488686,0.0058410653,0.1194950265,0.4810372431,0.3006826656,0.047787224,2.38442072097076e-05,"Mitochondrion"
"Q6PB66",0.0282539666,0.035566856,0.0148334396,0.1114800781,0.4214441425,0.2758352144,0.0713519746,0.0412343281,"Mitochondrion"
"Q8BTM8",0.1217467543,0.1029100002,0.0276460832,0.1263011118,0.1363937463,0.322112285,0.1268511108,0.0360389085,"unknown"
"P07901",0.0831941207,0.0646474782,0.0146353605,0.0423162152,0.0227231388,0.0205188384,0.0104519012,0.7415129469,"Cytosol"
"D4AFX7",0.0809199337,0.2906389738,0.0525787963,0.3360566283,0.1058385038,0.0682874341,0.0285842028,0.0370955273,"unknown"
"Q61543",0.0911774225,0.140890915,0.0618863182,0.3144678784,0.1639954213,0.1223310978,0.0623172374,0.0429337095,"unknown"
"Q9CQN1",0.0604651478,0.0591009566,0.0287453524,0.0475544865,0.0622482232,0.0384686614,0.0197081907,0.6837089815,"Mitochondrion"
"P38647",0.0212539167,0.0267036813,0.0077022403,0.1153195106,0.4695174105,0.3018423114,0.0534834944,0.0041774346,"Mitochondrion"
"P43247",0.042921584,0.0486240676,0.0191258596,0.0537016794,0.0606424782,0.3801945766,0.1507804204,0.2440093343,"unknown"
"P80318",0.0983225488,0.0947092907,0.0175023721,0.0886005926,0.067465537,0.1427336811,0.125265233,0.3654007446,"unknown"
"Q80U72",0.3489491924,0.1880915071,0.0411828177,0.1402735474,0.1104369842,0.0867855348,0.0325079253,0.0517724911,"Plasma membrane"
"Q8BHN3",0.0980032653,0.1301363865,0.0471183728,0.2654971587,0.2222880654,0.1690033661,0.043200304,0.0247530812,"unknown"
"P27773",0.0570367171,0.1234765068,0.029011554,0.3077228845,0.2281983358,0.1976531334,0.0378184317,0.0190824368,"Endoplasmic reticulum"
"Q3U7R1",0.1379156088,0.1484601107,0.0826707556,0.2244453615,0.1680455474,0.1285195375,0.0542292074,0.0557138713,"unknown"
"Q922D8",0.0770396579,0.091683212,0.0372559783,0.1336304352,0.1168308598,0.1119830485,0.3198602355,0.1117165728,"unknown"
"Q9CPY7",0.0451842805,0.048803496,0.0131541516,0.0926076623,0.3002028866,0.20573639,0.0529966311,0.2413145018,"unknown"
"Q99K87",0.0273134,0.0306081016,0.0093449026,0.118767991,0.4721717274,0.274495618,0.0595852206,0.0077130387,"unknown"
"P08249",0.0229666922,0.0234432111,0.0135923876,0.1071439315,0.4840130731,0.2620370165,0.0809535439,0.0058501441,"Mitochondrion"
"P27659",0.0700295097,0.0806227639,0.018931639,0.1785923433,0.1561742239,0.1643992276,0.1967208962,0.1345293963,"60S Ribosome"
"Q02248",0.4020272926,0.2147287729,0.0564597898,0.1515876508,0.0894733604,0.054654309,0.0194271729,0.0116416517,"Plasma membrane"
"Q3V3R1",0.0351294791,0.0374683235,0.0137330747,0.1130151307,0.456553276,0.2693323168,0.0605558599,0.0142125393,"Mitochondrion"
"Q9D8E6",0.0868314342,0.0844771431,0.0357429052,0.1412069342,0.1406530705,0.1266868744,0.2805633021,0.1038383362,"60S Ribosome"
"O35129",0.0393245674,0.0385325786,0.0142895123,0.1184644058,0.4431529541,0.2634667205,0.0660342993,0.0167349622,"unknown"
"P05064",0.1130171466,0.0958190198,0.0153642788,0.0702025963,0.0363706442,0.0285485134,0.011628692,0.629049109,"Cytosol"
"P09103",0.0588005791,0.1171260756,0.0308422838,0.3148234877,0.2302160839,0.2035068696,0.0305023664,0.0141822539,"Endoplasmic reticulum"
"P20029",0.0930206255,0.1254482418,0.0420831723,0.2856232425,0.22697556,0.1758735486,0.0398284908,0.0111471184,"Endoplasmic reticulum"
"P47738",0.0157285955,0.0202208424,0.0081273694,0.108167069,0.4794714355,0.2968296172,0.0630488628,0.0084062083,"Mitochondrion"
"P51432",0.262453126,0.2986465285,0.0374215364,0.1739156426,0.092144211,0.0700243135,0.0219408478,0.0434537943,"unknown"
"P68040",0.0802745298,0.0755167358,0.0142163484,0.1316654246,0.1423670815,0.1766759955,0.2265443661,0.1527395182,"unknown"
"P80314",0.0989461389,0.09629821,0.0190842924,0.0793802779,0.0604200859,0.1224392379,0.097564847,0.4258669101,"unknown"
"Q8K2B3",0.0416075785,0.0431539865,0.0183322336,0.1223809422,0.4357574418,0.2635359427,0.0603059556,0.014925919,"Mitochondrion"
"A2AQR0",0.036208904,0.042241484,0.0151389009,0.127454988,0.4240753099,0.2832394224,0.0598029792,0.0118380116,"unknown"
"A2ARV4",0.183146228,0.313190285,0.0601184264,0.181627373,0.0800182198,0.0802515036,0.0433918514,0.0582561127,"unknown"
"P09055",0.2718051743,0.2416715576,0.0648816328,0.1999936695,0.1084421497,0.0761816947,0.0268906194,0.0101335018,"Plasma membrane"
"P16858",0.0606226971,0.0574129921,0.0109927323,0.0518589464,0.0286515057,0.0382441623,0.0341554638,0.7180615004,"unknown"
"P20152",0.1154974633,0.0895917605,0.0249807456,0.0981287506,0.1050588338,0.2500755755,0.1508946724,0.1657721984,"unknown"
"P25206",0.0599585978,0.0504432116,0.021259026,0.0667020541,0.0715125772,0.2044181785,0.1296978106,0.3960085442,"unknown"
"P26231",0.3002024716,0.2137604936,0.0429457112,0.189429434,0.124203231,0.0689606335,0.031056051,0.0294419742,"Plasma membrane"
"P26443",0.02500667,0.0275105613,0.0099102777,0.1153288338,0.4522934517,0.2985086131,0.067074996,0.0043665963,"Mitochondrion"
"P62908",0.0609051206,0.0630062077,0.0228360738,0.1165206031,0.1225866861,0.1249524577,0.3466824917,0.1425103593,"40S Ribosome"
"Q01853",0.060259873,0.0790133266,0.0231316096,0.1039714663,0.0607633458,0.0463574551,0.0180946216,0.6084083019,"unknown"
"Q02053",0.0475479373,0.0606250674,0.0120833788,0.0507975897,0.0317261965,0.0335835061,0.020255156,0.7433811682,"Cytosol"
"Q61316",0.0336604664,0.0442160067,0.0086637146,0.0462118787,0.0261321442,0.0215318338,0.0113834587,0.8082004969,"Cytosol"
"Q61656",0.0614279726,0.0772329506,0.0158633033,0.1369842968,0.1182098452,0.1724141388,0.2069480372,0.2109194556,"Nucleus - Nucleolus"
"Q61739",0.3111753099,0.2377742626,0.0423759863,0.1729940051,0.1076426478,0.0888718463,0.0271386017,0.0120273403,"Plasma membrane"
"Q62351",0.1560396729,0.2656563892,0.1134319383,0.2543848537,0.1139154585,0.0611030922,0.0244867219,0.0109818732,"unknown"
"Q64737",0.0803474823,0.0837501637,0.0178373806,0.0504785415,0.0312206541,0.040973941,0.0305591523,0.6648326844,"unknown"
"Q68FD5",0.154035392,0.1183428247,0.040491956,0.1827356747,0.1500233601,0.0873091582,0.056965246,0.2100963883,"unknown"
"Q6ZWN5",0.0979771447,0.0948732978,0.0170384115,0.1432729819,0.139556966,0.1329953541,0.1913812323,0.1829046117,"40S Ribosome"
"Q78PY7",0.099892228,0.0973649067,0.0455709719,0.1798083353,0.188646791,0.1704635208,0.176731802,0.0415214443,"unknown"
