Protein_ID,Cytosol,ER,Golgi,Mitochondrion,PM,Plastid,Ribosome,Vacuole,markers,score,pred,FDR,qvalue
AT5G25100,5.554468343604846e-12,2.1104887082401547e-07,0.9999958276748657,4.230217287570781e-10,4.849812995644243e-09,3.925815690308809e-06,7.869569579321833e-11,3.7504035987900863e-10,Golgi,0.9999958276748657,Golgi,0.0,0.0
AT4G11220,7.601836387038929e-07,0.9999815225601196,1.0377787475590594e-05,5.730636409850831e-09,1.7451745861762902e-06,4.564113169180928e-06,1.065592869053944e-06,1.4718368746002852e-08,ER,0.9999815225601196,ER,0.0,0.0
AT2G35610,1.0545354173219224e-10,1.406035949003126e-06,0.9999284744262695,7.58245946030911e-08,6.507169558744863e-08,6.97979994583875e-05,6.952848297103742e-10,7.749516583999139e-09,Golgi,0.9999284744262695,Golgi,0.0,0.0
AT3G21190,4.564937317041995e-09,2.536301690270193e-05,0.9997746348381042,7.141754849726567e-07,3.674322215374559e-07,0.0001989049487747252,2.7223480358884444e-08,5.905646105475171e-08,Golgi,0.9997746348381042,Golgi,0.0,0.0
AT5G20350,8.158402664548703e-08,4.04636884923093e-05,0.9992831349372864,5.231802333582891e-07,1.5574757981084986e-06,0.0006738515803590417,3.0416838825431114e-08,4.303025775698188e-07,Golgi,0.9992831349372864,Golgi,0.0,0.0
AT1G06890,7.116508982107916e-08,0.0002877118531614542,0.9991496801376343,7.421887858072296e-06,3.3053177048714133e-06,0.0005511511699296534,2.4435524892396643e-07,5.141753831594542e-07,Golgi,0.9991496801376343,Golgi,0.0,0.0
AT1G30400,1.9905713998014107e-05,1.549895023345016e-05,8.697859448147938e-05,0.00028737762477248907,0.00027250617858953774,8.184124453691766e-05,0.00016704054723959416,0.9990689158439636,Vacuole,0.9990689158439636,Vacuole,0.0,0.0
AT2G02040,2.450843749102205e-05,5.4466156143462285e-05,1.405597049597418e-05,0.0001823424972826615,0.00057675113203004,0.0001444034860469401,0.00029666058253496885,0.9987068176269531,Vacuole,0.9987068176269531,Vacuole,0.0,0.0
AT5G18480,4.332705927367897e-08,7.344315235968679e-05,0.9986679553985596,8.83519805938704e-06,2.3753907498758053e-06,0.0012470034416764975,1.304308767657858e-07,2.5213196863660414e-07,Golgi,0.9986679553985596,Golgi,0.0,0.0
AT1G29790,1.0551857343443771e-07,4.669660484069027e-05,0.998290479183197,9.532132025924511e-07,1.2551966392493341e-05,0.00164788868278265,2.2542658939528337e-07,1.146364184023696e-06,Golgi,0.998290479183197,Golgi,0.0,0.0
AT1G10950,3.481451926745649e-07,0.0009114018175750971,0.9982393980026245,1.4782306607230566e-05,5.6096228036039975e-06,0.0008272506529465318,1.1017517209666039e-07,1.1123426020276383e-06,Golgi,0.9982393980026245,Golgi,0.0,0.0
AT1G76090,4.860779085902323e-07,0.9979714751243591,4.103311312064761e-06,3.360553932907351e-07,0.0019589511211961508,9.044290891324636e-06,5.491615229402669e-05,6.8140479925205e-07,ER,0.9979714751243591,ER,0.0,0.0
AT5G17770,4.248406185070053e-06,0.9976818561553955,2.1176154405111447e-05,2.0634665816032793e-06,0.0020411848090589046,1.6542648154427297e-05,0.00022806647757533938,4.907596576231299e-06,ER,0.9976818561553955,ER,0.0,0.0
AT3G05280,3.3947907240872155e-07,0.00019548737327568233,0.9970978498458862,2.397317257418763e-05,7.702648872509599e-06,0.0026721523609012365,8.256287173935561e-07,1.6414655874541495e-06,Golgi,0.9970978498458862,Golgi,0.0,0.0
ATCG00500,6.959051574995101e-07,1.0732515875133686e-05,0.001338037895038724,0.001759498962201178,1.1140765536765684e-06,0.9968896508216858,2.5451509344520673e-08,2.3860383180362987e-07,Plastid,0.9968896508216858,Plastid,0.0,0.0
